DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/01/2017,9:51,QUEENS,11361,,,,NORTHERN BOULEVARD              ,207 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3643034,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/01/2017,9:50,BROOKLYN,11214,40.60309,-73.99262,"(40.60309, -73.99262)",84 STREET                       ,BAY PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3643044,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2017,9:45,,,40.68405,-73.97746,"(40.68405, -73.97746)",ATLANTIC AVENUE                 ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3643979,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/01/2017,9:45,QUEENS,11419,40.692867,-73.820656,"(40.692867, -73.820656)",97 AVENUE                       ,126 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3644682,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/01/2017,9:40,QUEENS,11422,40.671604,-73.72807,"(40.671604, -73.72807)",HOOK CREEK BOULEVARD            ,134 AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3643167,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/01/2017,9:30,,,,,,,,,1,0,0,0,0,0,1,0,View Obstructed/Limited,Unspecified,,,,3643026,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/01/2017,9:30,,,40.73662,-73.83643,"(40.73662, -73.83643)",,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Reaction to Other Uninvolved Vehicle,Reaction to Other Uninvolved Vehicle,,,3643557,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/01/2017,9:30,,,40.658577,-73.89063,"(40.658577, -73.89063)",PENNSYLVANIA AVENUE             ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3643161,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/01/2017,9:15,STATEN ISLAND,10305,40.59589,-74.085884,"(40.59589, -74.085884)",HYLAN BOULEVARD                 ,OLD TOWN ROAD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3643062,PASSENGER VEHICLE,,,,
04/01/2017,9:15,MANHATTAN,10003,40.736103,-73.99354,"(40.736103, -73.99354)",,,69        5 AVENUE                      ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3643583,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
