DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/01/2017,18:30,BROOKLYN,11226,40.655594,-73.94717,"(40.655594, -73.94717)",NEW YORK AVENUE                 ,CLARKSON AVENUE,,4,0,0,0,0,0,4,0,Failure to Yield Right-of-Way,Unspecified,,,,3608213,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2017,18:30,,,,,,KISSENA BOULEVARD               ,HORACE HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3608484,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/01/2017,18:30,,,40.765358,-73.74429,"(40.765358, -73.74429)",DOUGLASTON PARKWAY              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3608688,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2017,18:30,BRONX,10460,40.840492,-73.869354,"(40.840492, -73.869354)",,,1622      VANBUREN STREET               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3608624,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
02/01/2017,18:29,,,40.702038,-73.86726,"(40.702038, -73.86726)",,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3608508,PASSENGER VEHICLE,,,,
02/01/2017,18:29,,,40.67151,-73.76455,"(40.67151, -73.76455)",FARMERS BOULEVARD               ,140 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3608889,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2017,18:25,QUEENS,11355,40.751453,-73.83228,"(40.751453, -73.83228)",COLLEGE POINT BOULEVARD         ,BLOSSOM AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,3608175,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/01/2017,18:15,BROOKLYN,11224,40.578938,-73.98522,"(40.578938, -73.98522)",NEPTUNE AVENUE                  ,CROPSEY AVENUE,,1,0,0,0,2,0,0,0,View Obstructed/Limited,View Obstructed/Limited,,,,3608214,PASSENGER VEHICLE,BICYCLE,,,
02/01/2017,18:15,BRONX,10454,40.804695,-73.92239,"(40.804695, -73.92239)",BROWN PLACE                     ,BRUCKNER BOULEVARD,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3608822,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2017,18:15,QUEENS,11422,40.665257,-73.739555,"(40.665257, -73.739555)",SOUTH CONDUIT AVENUE            ,BROOKVILLE BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3608185,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2017,18:15,BROOKLYN,11209,40.62079,-74.04048,"(40.62079, -74.04048)",92 STREET                       ,SHORE ROAD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3608102,PASSENGER VEHICLE,,,,
02/01/2017,18:15,BRONX,10460,40.85401,-73.87187,"(40.85401, -73.87187)",BRONX RIVER PARKWAY             ,BOSTON ROAD,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3608629,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/01/2017,18:12,BRONX,10460,40.841354,-73.88033,"(40.841354, -73.88033)",,,1010      EAST 178 STREET               ,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3608277,SPORT UTILITY / STATION WAGON,,,,
02/01/2017,18:10,,,40.691113,-73.838425,"(40.691113, -73.838425)",ATLANTIC AVENUE                 ,107 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3610537,PASSENGER VEHICLE,,,,
02/01/2017,18:10,MANHATTAN,10001,40.74741,-73.99189,"(40.74741, -73.99189)",,,168       WEST 29 STREET                ,1,0,0,0,2,0,0,0,Passenger Distraction,Unspecified,,,,3608344,TAXI,BICYCLE,,,
02/01/2017,18:10,,,40.586777,-73.81465,"(40.586777, -73.81465)",ROCKAWAY BEACH BOULEVARD        ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3608625,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/01/2017,18:10,BROOKLYN,11234,40.60981,-73.92251,"(40.60981, -73.92251)",FLATBUSH AVENUE                 ,AVENUE U,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3608754,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2017,18:08,,,40.72857,-73.85809,"(40.72857, -73.85809)",QUEENS BOULEVARD                ,65 ROAD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3608150,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/01/2017,18:00,QUEENS,11428,40.720554,-73.73604,"(40.720554, -73.73604)",SPRINGFIELD BOULEVARD           ,94 ROAD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Following Too Closely,Unspecified,,,3608101,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
02/01/2017,18:00,QUEENS,11419,40.68574,-73.82774,"(40.68574, -73.82774)",LIBERTY AVENUE                  ,115 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3608203,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2017,18:00,QUEENS,11385,40.70843,-73.871895,"(40.70843, -73.871895)",COOPER AVENUE                   ,79 PLACE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3608505,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2017,18:00,QUEENS,11355,40.75919,-73.80981,"(40.75919, -73.80981)",43 AVENUE                       ,156 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3608170,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2017,18:00,BRONX,10467,40.876186,-73.86269,"(40.876186, -73.86269)",,,788       EAST GUN HILL ROAD            ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3608652,PASSENGER VEHICLE,,,,
02/01/2017,17:58,BRONX,10472,40.831154,-73.87199,"(40.831154, -73.87199)",,,1262      FTELEY AVENUE                 ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3608529,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/01/2017,17:55,BRONX,10465,40.840874,-73.820076,"(40.840874, -73.820076)",COUNTRY CLUB ROAD               ,STADIUM AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3609571,PASSENGER VEHICLE,TAXI,,,
02/01/2017,17:50,,,40.63633,-73.94705,"(40.63633, -73.94705)",EAST 31 STREET                  ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3608437,PICK-UP TRUCK,PASSENGER VEHICLE,,,
02/01/2017,17:50,STATEN ISLAND,10310,40.633858,-74.12596,"(40.633858, -74.12596)",CLOVE ROAD                      ,CASTLETON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3608253,PASSENGER VEHICLE,PICK-UP TRUCK,,,
02/01/2017,17:45,BROOKLYN,11234,40.633144,-73.92356,"(40.633144, -73.92356)",AVENUE H                        ,EAST 55 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3610465,SPORT UTILITY / STATION WAGON,,,,
02/01/2017,17:45,QUEENS,11377,40.750317,-73.89867,"(40.750317, -73.89867)",64 STREET                       ,35 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3608597,PASSENGER VEHICLE,,,,
02/01/2017,17:43,,,40.8252,-73.867714,"(40.8252, -73.867714)",ROSEDALE AVENUE                 ,BRUCKNER BOULEVARD,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3608626,BICYCLE,PASSENGER VEHICLE,,,
02/01/2017,17:40,,,40.730137,-73.92693,"(40.730137, -73.92693)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3608593,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/01/2017,17:40,,,40.675735,-73.89686,"(40.675735, -73.89686)",PENNSYLVANIA AVENUE             ,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3608801,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2017,17:40,BROOKLYN,11231,40.673298,-74.00835,"(40.673298, -74.00835)",COLUMBIA STREET                 ,BAY STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3608128,SPORT UTILITY / STATION WAGON,,,,
02/01/2017,17:40,BRONX,10454,,,,BRUCKNER EXPRESSWAY             ,EAST 138 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3608816,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2017,17:39,BRONX,10459,40.82101,-73.89773,"(40.82101, -73.89773)",,,907       EAST 163 STREET               ,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3608696,BICYCLE,SPORT UTILITY / STATION WAGON,,,
02/01/2017,17:36,BRONX,10454,40.806427,-73.91657,"(40.806427, -73.91657)",,,584       EAST 138 STREET               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3608245,SPORT UTILITY / STATION WAGON,,,,
02/01/2017,17:35,,,,,,251                             ,hillside ave,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,3608092,PICK-UP TRUCK,PASSENGER VEHICLE,PICK-UP TRUCK,PASSENGER VEHICLE,
02/01/2017,17:30,,,40.7147,-73.98246,"(40.7147, -73.98246)",GRAND STREET                    ,EAST BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3609075,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/01/2017,17:30,QUEENS,11378,40.717438,-73.921844,"(40.717438, -73.921844)",,,58-41     47 STREET                     ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3608494,PASSENGER VEHICLE,,,,
02/01/2017,17:30,MANHATTAN,10027,40.813564,-73.951324,"(40.813564, -73.951324)",SAINT NICHOLAS TERRACE          ,WEST 129 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3608308,PASSENGER VEHICLE,,,,
02/01/2017,17:26,,,40.704384,-73.901825,"(40.704384, -73.901825)",67 AVENUE                       ,,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,View Obstructed/Limited,,,,3608497,BICYCLE,PASSENGER VEHICLE,,,
02/01/2017,17:25,BROOKLYN,11219,40.626373,-73.99754,"(40.626373, -73.99754)",62 STREET                       ,14 AVENUE,,1,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3608188,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2017,17:25,,,40.867035,-73.896324,"(40.867035, -73.896324)",MORRIS AVENUE                   ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3608628,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2017,17:15,BROOKLYN,11223,40.59983,-73.98294,"(40.59983, -73.98294)",,,1927      WEST 11 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3608498,SPORT UTILITY / STATION WAGON,,,,
02/01/2017,17:15,BROOKLYN,11220,40.638153,-74.01397,"(40.638153, -74.01397)",60 STREET                       ,6 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3608125,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2017,17:13,,,40.70313,-73.816795,"(40.70313, -73.816795)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3608279,SPORT UTILITY / STATION WAGON,TAXI,,,
02/01/2017,17:11,MANHATTAN,10022,40.75645,-73.97032,"(40.75645, -73.97032)",3 AVENUE                        ,EAST 51 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,3608169,SPORT UTILITY / STATION WAGON,,,,
02/01/2017,17:10,BROOKLYN,11213,40.669403,-73.94221,"(40.669403, -73.94221)",KINGSTON AVENUE                 ,EASTERN PARKWAY,,1,0,1,0,0,0,0,0,Unspecified,,,,,3609240,PASSENGER VEHICLE,,,,
02/01/2017,17:10,,,40.650806,-73.94958,"(40.650806, -73.94958)",NOSTRAND AVENUE                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3614251,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2017,17:06,BROOKLYN,11236,40.65295,-73.911026,"(40.65295, -73.911026)",AVENUE B                        ,ROCKAWAY PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3608451,PASSENGER VEHICLE,PICK-UP TRUCK,,,
02/01/2017,17:02,BROOKLYN,11218,40.64138,-73.969406,"(40.64138, -73.969406)",CONEY ISLAND AVENUE             ,AVENUE C,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3608113,SPORT UTILITY / STATION WAGON,,,,
02/01/2017,17:02,QUEENS,11417,40.679962,-73.83953,"(40.679962, -73.83953)",100 STREET                      ,ROCKAWAY BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3608202,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
02/01/2017,17:00,,,40.782627,-73.97499,"(40.782627, -73.97499)",COLUMBUS AVENUE                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3608504,PICK-UP TRUCK,,,,
02/01/2017,17:00,,,40.7189,-73.748215,"(40.7189, -73.748215)",93 AVENUE                       ,212 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3608090,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/01/2017,17:00,QUEENS,11372,40.74977,-73.878624,"(40.74977, -73.878624)",,,37-11     88 STREET                     ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3608364,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2017,17:00,QUEENS,11104,40.74191,-73.9256,"(40.74191, -73.9256)",39 PLACE                        ,47 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3608596,PASSENGER VEHICLE,,,,
02/01/2017,17:00,MANHATTAN,10038,40.706406,-74.00456,"(40.706406, -74.00456)",JOHN STREET                     ,FRONT STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3609386,PASSENGER VEHICLE,,,,
02/01/2017,17:00,BROOKLYN,11207,40.690643,-73.91041,"(40.690643, -73.91041)",,,1167      HALSEY STREET                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3608934,PASSENGER VEHICLE,,,,
02/01/2017,17:00,BRONX,10468,40.866035,-73.89854,"(40.866035, -73.89854)",,,2605      JEROME AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3608424,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2017,16:55,,,40.604313,-74.05208,"(40.604313, -74.05208)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3608226,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/01/2017,16:55,BROOKLYN,11212,40.67066,-73.904205,"(40.67066, -73.904205)",POWELL STREET                   ,PITKIN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3611013,PASSENGER VEHICLE,,,,
