DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2017,8:40,QUEENS,11429,40.7119827,-73.7387698,"(40.7119827, -73.7387698)",,,218-21    105 AVENUE                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3590177,SPORT UTILITY / STATION WAGON,,,,
01/01/2017,8:35,QUEENS,11691,40.594236,-73.7720045,"(40.594236, -73.7720045)",BEACH 40 STREET                 ,ROCKAWAY BEACH BOULEVARD,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3590937,PASSENGER VEHICLE,,,,
01/01/2017,8:35,BROOKLYN,11213,40.6721754,-73.9335716,"(40.6721754, -73.9335716)",,,195       SCHENECTADY AVENUE            ,1,0,0,0,0,0,1,0,Fell Asleep,Unspecified,Unspecified,,,3595645,TAXI,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/01/2017,8:32,,,,,,8 AVENUE                        ,,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,,,,,3590748,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2017,8:30,,,,,,MORRIS AVENUE                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3590935,SPORT UTILITY / STATION WAGON,,,,
01/01/2017,8:30,,,,,,EMPIRE BOULEVARD                ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3590164,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/01/2017,8:20,BROOKLYN,11210,40.6368284,-73.9391663,"(40.6368284, -73.9391663)",,,3917      FARRAGUT ROAD                 ,2,0,0,0,0,0,6,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3590044,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
01/01/2017,8:00,QUEENS,11427,40.726229,-73.7567029,"(40.726229, -73.7567029)",CLEARVIEW EXPRESSWAY            ,GRAND CENTRAL PARKWAY,,1,0,0,0,0,0,1,0,Unspecified,,,,,3590137,SPORT UTILITY / STATION WAGON,,,,
01/01/2017,8:00,BROOKLYN,11210,40.6366269,-73.9422507,"(40.6366269, -73.9422507)",BROOKLYN AVENUE                 ,FARRAGUT ROAD,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3593027,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2017,8:00,,,40.6662366,-73.7609885,"(40.6662366, -73.7609885)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,3590062,SPORT UTILITY / STATION WAGON,,,,
01/01/2017,8:00,,,,,,SHORE PARKWAY                   ,25 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3599045,PASSENGER VEHICLE,,,,
01/01/2017,8:00,,,,,,110 AVENUE                      ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3590185,TAXI,PASSENGER VEHICLE,,,
