DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/01/2017,14:00,,,40.738117,-73.7973,"(40.738117, -73.7973)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3702942,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/01/2017,12:30,,,40.81344,-73.94135,"(40.81344, -73.94135)",WEST 134 STREET                 ,,,1,0,1,0,0,0,0,0,Unspecified,,,,,3703990,BICYCLE,,,,
07/01/2017,0:00,BRONX,10458,,,,Fordham Road                    ,Hoffman street,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3702935,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2017,0:00,BROOKLYN,11207,40.65503,-73.87933,"(40.65503, -73.87933)",SCHENCK AVENUE                  ,VANDALIA AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3702701,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/01/2017,0:00,BROOKLYN,11232,,,,GOWANUS EXPRESSWAY              ,38 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3702858,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/01/2017,0:00,MANHATTAN,10002,40.713745,-73.99395,"(40.713745, -73.99395)",FORSYTH STREET                  ,EAST BROADWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3704358,PASSENGER VEHICLE,,,,
07/01/2017,0:00,MANHATTAN,10009,40.722107,-73.97454,"(40.722107, -73.97454)",,,749       FDR DRIVE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3703324,SPORT UTILITY / STATION WAGON,,,,
07/01/2017,0:00,QUEENS,11385,40.711994,-73.86073,"(40.711994, -73.86073)",METROPOLITAN AVENUE             ,AUBREY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3703688,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2017,0:00,QUEENS,11417,40.680687,-73.84459,"(40.680687, -73.84459)",CROSS BAY BOULEVARD             ,ROCKAWAY BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3702723,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/01/2017,0:00,,,40.60309,-73.99262,"(40.60309, -73.99262)",BAY PARKWAY                     ,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,3703234,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
07/01/2017,0:00,,,40.665348,-73.922325,"(40.665348, -73.922325)",SUTTER AVENUE                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3702893,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/01/2017,0:00,,,40.73085,-73.91566,"(40.73085, -73.91566)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3702800,TAXI,,,,
07/01/2017,0:00,,,40.830906,-73.8736,"(40.830906, -73.8736)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Following Too Closely,Unspecified,,3703838,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
07/01/2017,0:01,BROOKLYN,11222,40.728695,-73.95158,"(40.728695, -73.95158)",CALYER STREET                   ,ECKFORD STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3702835,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/01/2017,0:01,MANHATTAN,10001,40.74843,-73.990456,"(40.74843, -73.990456)",,,142       WEST 31 STREET                ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3703251,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/01/2017,0:01,,,40.77077,-73.91727,"(40.77077, -73.91727)",31 STREET                       ,ASTORIA BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3703726,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/01/2017,0:05,,,40.68659,-74.00842,"(40.68659, -74.00842)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3702921,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2017,0:08,BROOKLYN,11209,40.619152,-74.029854,"(40.619152, -74.029854)",91 STREET                       ,4 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3704285,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2017,0:10,,,,,,VERMONT PLACE                   ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,3703676,MOTORCYCLE,,,,
07/01/2017,0:18,BROOKLYN,11216,40.682957,-73.94383,"(40.682957, -73.94383)",,,423       TOMPKINS AVENUE               ,0,0,0,0,0,0,0,0,Passenger Distraction,Driver Inattention/Distraction,,,,3703856,TAXI,,,,
07/01/2017,0:30,BROOKLYN,11211,40.713898,-73.961685,"(40.713898, -73.961685)",BEDFORD AVENUE                  ,SOUTH 1 STREET,,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,3702607,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/01/2017,0:30,BROOKLYN,11229,40.598793,-73.936905,"(40.598793, -73.936905)",,,3044      AVENUE V                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3703932,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
07/01/2017,0:40,,,40.72656,-73.83802,"(40.72656, -73.83802)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3702781,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/01/2017,0:40,QUEENS,11385,40.712902,-73.90608,"(40.712902, -73.90608)",METROPOLITAN AVENUE             ,FOREST AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3703680,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/01/2017,0:49,MANHATTAN,10031,40.82215,-73.954025,"(40.82215, -73.954025)",,,602       WEST 138 STREET               ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3704457,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/01/2017,0:50,MANHATTAN,10034,40.87229,-73.91269,"(40.87229, -73.91269)",BROADWAY                        ,WEST 220 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3705335,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/01/2017,0:50,,,,,,AVENUE OF THE AMERICAS          ,WEST HOUSTON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3704215,TAXI,,,,
07/01/2017,0:58,BROOKLYN,11208,40.67073,-73.88262,"(40.67073, -73.88262)",,,495       ELTON STREET                  ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3702691,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2017,10:00,BRONX,10454,40.805016,-73.92109,"(40.805016, -73.92109)",BROOK AVENUE                    ,EAST 134 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3703913,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/01/2017,10:00,BROOKLYN,11212,40.664436,-73.90941,"(40.664436, -73.90941)",,,642       ROCKAWAY AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3704085,PASSENGER VEHICLE,,,,
07/01/2017,10:00,,,40.751976,-73.93197,"(40.751976, -73.93197)",NORTHERN BOULEVARD              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3703730,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/01/2017,10:06,MANHATTAN,10065,40.764988,-73.96116,"(40.764988, -73.96116)",2 AVENUE                        ,EAST 66 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3704235,TAXI,TAXI,,,
07/01/2017,10:09,BROOKLYN,11230,,,,OCEAN PARKWAY                   ,PARKVILLE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3704560,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/01/2017,10:10,,,40.792465,-73.79322,"(40.792465, -73.79322)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3705887,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2017,10:10,BROOKLYN,11234,40.60981,-73.92251,"(40.60981, -73.92251)",FLATBUSH AVENUE                 ,AVENUE U,,1,0,1,0,0,0,0,0,Unsafe Speed,,,,,3706655,PASSENGER VEHICLE,,,,
07/01/2017,10:10,QUEENS,11411,40.685276,-73.72809,"(40.685276, -73.72809)",,,120-29    237 STREET                    ,1,0,0,0,0,0,1,0,Physical Disability,Unspecified,,,,3702816,PICK-UP TRUCK,PICK-UP TRUCK,,,
07/01/2017,10:11,,,40.84816,-73.86338,"(40.84816, -73.86338)",RHINELANDER AVENUE              ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3703067,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2017,10:12,,,40.604153,-74.05198,"(40.604153, -74.05198)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified,,,3703330,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
07/01/2017,10:15,BROOKLYN,11236,40.63465,-73.9146,"(40.63465, -73.9146)",,,7812      FLATLANDS AVENUE              ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3703843,SPORT UTILITY / STATION WAGON,,,,
07/01/2017,10:15,,,40.86235,-73.89997,"(40.86235, -73.89997)",MORRIS AVENUE                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3703286,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/01/2017,10:16,QUEENS,11415,40.706142,-73.83177,"(40.706142, -73.83177)",METROPOLITAN AVENUE             ,LEFFERTS BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3703865,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2017,10:20,BRONX,10460,40.842625,-73.87818,"(40.842625, -73.87818)",EAST 180 STREET                 ,BOSTON ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3704164,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2017,10:30,BROOKLYN,11236,40.646847,-73.89897,"(40.646847, -73.89897)",,,709       EAST 101 STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3703844,SPORT UTILITY / STATION WAGON,,,,
07/01/2017,10:30,,,,,,SHORE ROAD                      ,BARTOW CIRCLE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3702990,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/01/2017,10:40,QUEENS,11368,40.737682,-73.862305,"(40.737682, -73.862305)",98 STREET                       ,57 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3702779,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/01/2017,10:40,,,40.685184,-73.920456,"(40.685184, -73.920456)",HALSEY STREET                   ,,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,Unspecified,,,3703495,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
07/01/2017,10:42,MANHATTAN,10002,40.713856,-73.98454,"(40.713856, -73.98454)",,,265       HENRY STREET                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,3705228,SPORT UTILITY / STATION WAGON,,,,
07/01/2017,11:00,BROOKLYN,11237,40.707577,-73.92884,"(40.707577, -73.92884)",INGRAHAM STREET                 ,PORTER AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,3703627,PASSENGER VEHICLE,,,,
07/01/2017,11:00,MANHATTAN,10032,40.83822,-73.94504,"(40.83822, -73.94504)",,,671       WEST 162 STREET               ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3703323,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/01/2017,11:00,QUEENS,11355,40.752316,-73.8324,"(40.752316, -73.8324)",COLLEGE POINT BOULEVARD         ,AVERY AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3702730,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/01/2017,11:00,,,40.878212,-73.84115,"(40.878212, -73.84115)",EAST 222 STREET                 ,BRUNER AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3704000,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2017,11:00,,,40.723698,-74.00792,"(40.723698, -74.00792)",HUDSON STREET                   ,CANAL STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3703195,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/01/2017,11:00,,,40.83,-73.91812,"(40.83, -73.91812)",SHERMAN AVENUE                  ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3703948,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/01/2017,11:00,,,40.608757,-74.038086,"(40.608757, -74.038086)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3704265,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2017,11:05,QUEENS,11364,40.731777,-73.77011,"(40.731777, -73.77011)",FRANCIS LEWIS BOULEVARD         ,UNION TURNPIKE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3702780,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
07/01/2017,11:05,QUEENS,11429,40.71204,-73.73646,"(40.71204, -73.73646)",SPRINGFIELD BOULEVARD           ,HOLLIS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3703634,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
