DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/01/2017,9:55,STATEN ISLAND,10306,40.567867,-74.129196,"(40.567867, -74.129196)",,,61        AMBER STREET                  ,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,,,,3624150,SPORT UTILITY / STATION WAGON,,,,
03/01/2017,9:50,BROOKLYN,11215,40.66623,-73.98545,"(40.66623, -73.98545)",6 AVENUE                        ,12 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,,3624475,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
03/01/2017,9:50,,,40.607582,-74.01229,"(40.607582, -74.01229)",BAY 10 STREET                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3623884,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/01/2017,9:45,,,40.756874,-73.94436,"(40.756874, -73.94436)",40 AVENUE                       ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3623934,SPORT UTILITY / STATION WAGON,,,,
03/01/2017,9:42,,,40.84533,-73.9233,"(40.84533, -73.9233)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3624619,PASSENGER VEHICLE,,,,
03/01/2017,9:30,BROOKLYN,11221,40.684624,-73.93838,"(40.684624, -73.93838)",MARCUS GARVEY BOULEVARD         ,JEFFERSON AVENUE,,4,0,0,0,0,0,4,0,Traffic Control Disregarded,Unspecified,,,,3624748,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,9:30,,,40.82733,-73.8498,"(40.82733, -73.8498)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3624005,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/01/2017,9:30,,,40.709827,-73.83983,"(40.709827, -73.83983)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3623842,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/01/2017,9:30,,,40.679638,-73.91655,"(40.679638, -73.91655)",MACDOUGAL STREET                ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3623928,PASSENGER VEHICLE,,,,
03/01/2017,9:30,MANHATTAN,10035,40.804676,-73.93223,"(40.804676, -73.93223)",EAST 128 STREET                 ,2 AVENUE,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3624243,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,9:30,MANHATTAN,10013,40.72584,-74.00757,"(40.72584, -74.00757)",SPRING STREET                   ,HUDSON STREET,,0,0,0,0,0,0,0,0,,,,,,3624849,PICK-UP TRUCK,PASSENGER VEHICLE,,,
03/01/2017,9:30,BROOKLYN,11222,40.724262,-73.93766,"(40.724262, -73.93766)",MEEKER AVENUE                   ,APOLLO STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3624130,,,,,
03/01/2017,9:26,,,40.639294,-74.01279,"(40.639294, -74.01279)",58 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3623847,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/01/2017,9:25,STATEN ISLAND,10301,40.612114,-74.10018,"(40.612114, -74.10018)",TIOGA STREET                    ,ONEIDA AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,,,3624462,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/01/2017,9:25,QUEENS,11355,40.740463,-73.81507,"(40.740463, -73.81507)",,,59-08     KISSENA BOULEVARD             ,0,0,0,0,0,0,0,0,Unspecified,,,,,3624008,SPORT UTILITY / STATION WAGON,,,,
03/01/2017,9:25,MANHATTAN,10035,40.805256,-73.93888,"(40.805256, -73.93888)",,,1825      PARK AVENUE                   ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3624242,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,9:23,BROOKLYN,11226,40.652927,-73.959335,"(40.652927, -73.959335)",FLATBUSH AVENUE                 ,CATON AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Other Vehicular,,,,3624623,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,9:18,,,40.741234,-73.84573,"(40.741234, -73.84573)",,,,0,0,0,0,0,0,0,0,,,,,,3623886,SPORT UTILITY / STATION WAGON,,,,
03/01/2017,9:15,BROOKLYN,11210,40.639023,-73.941536,"(40.639023, -73.941536)",FOSTER AVENUE                   ,EAST 37 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3628713,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,9:15,MANHATTAN,10031,40.82025,-73.954956,"(40.82025, -73.954956)",,,3340      BROADWAY                      ,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3624176,TAXI,PASSENGER VEHICLE,,,
03/01/2017,9:15,MANHATTAN,10019,40.7688,-73.988785,"(40.7688, -73.988785)",,,862       10 AVENUE                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3623930,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,9:15,MANHATTAN,10007,40.713547,-74.01083,"(40.713547, -74.01083)",,,24        WEST BROADWAY                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3624848,PASSENGER VEHICLE,,,,
03/01/2017,9:00,MANHATTAN,10002,40.719223,-73.98558,"(40.719223, -73.98558)",,,153       RIVINGTON STREET              ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3624249,SPORT UTILITY / STATION WAGON,BICYCLE,,,
03/01/2017,9:00,,,,,,35 AVENUE                       ,CLEARVIEW EXPRESSWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3623963,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/01/2017,9:00,QUEENS,11101,40.752228,-73.93911,"(40.752228, -73.93911)",CRESCENT STREET                 ,41 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3623933,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/01/2017,9:00,MANHATTAN,10013,40.715355,-73.99773,"(40.715355, -73.99773)",BAYARD STREET                   ,ELIZABETH STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3627095,PASSENGER VEHICLE,,,,
03/01/2017,9:00,BRONX,10472,40.831875,-73.86636,"(40.831875, -73.86636)",WESTCHESTER AVENUE              ,BEACH AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3623857,PICK-UP TRUCK,,,,
03/01/2017,8:55,,,,,,SOUTHERN BOULEVARD              ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3637574,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/01/2017,8:55,,,40.707714,-73.802795,"(40.707714, -73.802795)",HILLSIDE AVENUE                 ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,3625160,PASSENGER VEHICLE,,,,
03/01/2017,8:55,,,40.715954,-73.986725,"(40.715954, -73.986725)",GRAND STREET                    ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3624251,PASSENGER VEHICLE,,,,
03/01/2017,8:55,BRONX,10451,40.818012,-73.92519,"(40.818012, -73.92519)",EAST 149 STREET                 ,PARK AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3625258,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:52,,,40.870777,-73.81923,"(40.870777, -73.81923)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3625225,PASSENGER VEHICLE,PICK-UP TRUCK,,,
03/01/2017,8:50,,,40.8746,-73.9097,"(40.8746, -73.9097)",BROADWAY                        ,WEST 225 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3625055,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:50,MANHATTAN,10021,40.77233,-73.958725,"(40.77233, -73.958725)",EAST 76 STREET                  ,3 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3624650,PASSENGER VEHICLE,,,,
03/01/2017,8:45,BROOKLYN,11249,40.719738,-73.957825,"(40.719738, -73.957825)",BERRY STREET                    ,NORTH 9 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3623997,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:45,,,40.667084,-73.78698,"(40.667084, -73.78698)",,,BAISLEY BOULEVARD                       ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3624264,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/01/2017,8:45,QUEENS,11420,40.666893,-73.80546,"(40.666893, -73.80546)",NORTH CONDUIT AVENUE            ,134 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3624106,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/01/2017,8:45,MANHATTAN,10018,40.75529,-73.99493,"(40.75529, -73.99493)",9 AVENUE                        ,WEST 37 STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,,,,,3627413,,,,,
03/01/2017,8:45,BROOKLYN,11236,40.645874,-73.892845,"(40.645874, -73.892845)",AVENUE J                        ,EAST 105 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3624215,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/01/2017,8:45,BROOKLYN,11223,40.59652,-73.97331,"(40.59652, -73.97331)",MC DONALD AVENUE                ,VILLAGE ROAD NORTH,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3624632,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/01/2017,8:45,BROOKLYN,11216,40.670006,-73.95328,"(40.670006, -73.95328)",EASTERN PARKWAY                 ,ROGERS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3624445,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:39,,,40.663303,-73.960625,"(40.663303, -73.960625)",EMPIRE BOULEVARD                ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3624260,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:35,BROOKLYN,11212,40.661907,-73.927574,"(40.661907, -73.927574)",EAST 92 STREET                  ,RUTLAND ROAD,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3625325,,,,,
03/01/2017,8:33,BRONX,10469,40.8588,-73.83438,"(40.8588, -73.83438)",ASTOR AVENUE                    ,DELANOY AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3624066,PASSENGER VEHICLE,,,,
03/01/2017,8:30,,,40.663227,-73.93159,"(40.663227, -73.93159)",EAST NEW YORK AVENUE            ,REMSEN AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3625316,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/01/2017,8:30,QUEENS,11432,40.702797,-73.80212,"(40.702797, -73.80212)",,,153-19    JAMAICA AVENUE                ,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,3625161,TAXI,,,,
03/01/2017,8:30,,,40.739796,-73.792885,"(40.739796, -73.792885)",UTOPIA PARKWAY                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3624102,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/01/2017,8:30,QUEENS,11365,40.72837,-73.80625,"(40.72837, -73.80625)",72 AVENUE                       ,163 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3623829,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:30,MANHATTAN,10029,40.792545,-73.94104,"(40.792545, -73.94104)",2 AVENUE                        ,EAST 109 STREET,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3624419,SPORT UTILITY / STATION WAGON,,,,
03/01/2017,8:30,MANHATTAN,10001,40.745422,-73.99291,"(40.745422, -73.99291)",,,152       WEST 26 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3624513,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:27,MANHATTAN,10022,40.760925,-73.96705,"(40.760925, -73.96705)",EAST 58 STREET                  ,3 AVENUE,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3624590,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
03/01/2017,8:25,QUEENS,11104,40.748928,-73.91375,"(40.748928, -73.91375)",50 STREET                       ,39 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,3624490,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
03/01/2017,8:25,BROOKLYN,11206,40.70219,-73.928345,"(40.70219, -73.928345)",JEFFERSON STREET                ,WILSON AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3624056,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
03/01/2017,8:20,MANHATTAN,10029,40.793606,-73.95161,"(40.793606, -73.95161)",5 AVENUE                        ,EAST 105 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3626269,PASSENGER VEHICLE,,,,
03/01/2017,8:18,QUEENS,11413,40.68476,-73.75663,"(40.68476, -73.75663)",LUCAS STREET                    ,122 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3624876,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:17,BRONX,10471,40.890087,-73.899086,"(40.890087, -73.899086)",,,4652      MANHATTAN COLLEGE PARKWAY     ,0,0,0,0,0,0,0,0,Unspecified,,,,,3624924,PICK-UP TRUCK,,,,
03/01/2017,8:15,BROOKLYN,11226,40.649788,-73.9622,"(40.649788, -73.9622)",CHURCH AVENUE                   ,SAINT PAULS PLACE,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3624674,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/01/2017,8:15,,,40.84647,-73.92633,"(40.84647, -73.92633)",,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Following Too Closely,,,,3624617,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:15,QUEENS,11375,40.7133,-73.84913,"(40.7133, -73.84913)",KESSEL STREET                   ,71 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3623836,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/01/2017,8:10,,,40.8617,-73.89139,"(40.8617, -73.89139)",,,WEBSTER AVENUE                          ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3626169,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:10,,,40.699955,-73.98682,"(40.699955, -73.98682)",SANDS STREET                    ,JAY STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3624314,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:06,STATEN ISLAND,10310,40.639706,-74.11544,"(40.639706, -74.11544)",,,67        NORTH BURGHER AVENUE          ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3624426,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:00,,,,,,BAYCHESTER AVENUE               ,SCHIEFELIN AVENUE,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3623992,SPORT UTILITY / STATION WAGON,,,,
03/01/2017,8:00,,,40.87793,-73.8703,"(40.87793, -73.8703)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3623823,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:00,,,40.605633,-74.07416,"(40.605633, -74.07416)",,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3624606,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/01/2017,8:00,,,40.824924,-73.86985,"(40.824924, -73.86985)",BRUCKNER BOULEVARD              ,SOUND VIEW AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3623856,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/01/2017,8:00,,,40.64554,-74.01708,"(40.64554, -74.01708)",3 AVENUE                        ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3623841,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
